Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
promises, 8, 7, 6, 1, e s u i o m,0,7,3,0
proofed, 7, 6, 7, 2, e r d i a o p,0,15,10,3
propionate, 10, 8, 5, 0, e a i t n,0,4,0,0
prosaic, 7, 7, 5, 2, e i a u o,0,5,2,0
prostitution, 12, 8, 5, 0, i t u s n,0,4,2,0
protocols, 9, 7, 6, 3, e i a o p l,0,7,4,0
providers, 9, 8, 6, 0, e s r o p d,0,6,3,0
prune, 5, 5, 8, 3, e a o i u r p n,0,6,4,0
psychological, 13, 10, 3, 0, i s l,0,5,2,0
pubs, 4, 4, 10, 6, e a o i u s b t r p,0,17,14,20
pulsate, 7, 7, 8, 3, e a t i o l u g,0,7,3,0
punctuational, 13, 9, 3, 0, i t l,0,4,1,0
puppets, 7, 5, 9, 4, e s r t l g c u p,0,15,11,2
purloined, 9, 9, 8, 1, e s d n i r u o,0,6,2,0
pushed, 6, 6, 10, 4, e r d a o i u s h p,0,16,10,2
pyramid, 7, 7, 6, 3, e i a c d l,0,7,5,0
quadrupole, 10, 9, 3, 0, e a r,0,5,2,0
quantum, 7, 6, 9, 4, e i a s r n m t u,0,8,5,0
quavers, 7, 7, 9, 2, e s r a l o u q v,0,21,15,2
queuing, 7, 6, 7, 2, e r i s n g u,0,10,7,0
quinquennial, 12, 7, 3, 0, i e n,0,3,1,0
quoted, 6, 6, 10, 5, e r d a o s l h u t,0,8,5,0
rackets, 7, 7, 8, 2, e s r t k c o i,0,8,3,0
radiographs, 11, 9, 10, 2, e i o g d a h p r y,0,7,3,0
railed, 6, 6, 7, 2, e r d i a s n,0,10,5,0
rallied, 7, 6, 6, 1, e r l i a s,0,8,4,0
randomly, 8, 8, 8, 3, e i a o s l y n,0,6,3,0
rapidly, 7, 7, 9, 2, e i s a l y d r p,0,16,10,2
rasped, 6, 6, 9, 3, e r d i o a n p s,0,8,4,0
rattier, 7, 5, 5, 2, e r i u o,0,8,3,0
razes, 5, 5, 5, 0, e s a r z,0,22,18,5
readers, 7, 5, 6, 2, e s r n a p,0,11,6,0
realists, 8, 7, 5, 0, e i s t l,0,5,1,0
rearrange, 9, 5, 2, 0, e r,0,6,3,0
reawakening, 11, 8, 5, 0, e r g i n,0,3,1,0
recalculation, 13, 10, 5, 0, i n o t a,0,5,0,0
receptions, 10, 9, 9, 0, e i s n o t c p r,0,12,4,0
recites, 7, 6, 9, 3, e d s r i v m c t,0,7,3,0
recoils, 7, 7, 7, 2, e i n s r l a,0,8,3,0
reconditioning, 14, 9, 4, 0, i t g n,0,4,1,0
recorder, 8, 5, 5, 2, e r o t m,0,11,7,0
rectifier, 9, 6, 6, 2, e d s r c i,0,8,4,0
reddens, 7, 5, 6, 2, e s r i n p,0,7,4,0
redirecting, 11, 8, 4, 0, e i t n,0,5,2,0
redtape, 7, 6, 5, 3, e r s i l,0,8,4,0
referent, 8, 5, 4, 1, e r n v,0,15,10,2
reflects, 8, 7, 5, 0, e t s r c,0,8,4,0
refractions, 11, 10, 6, 0, e i s n t r,0,3,0,0
refuses, 7, 5, 6, 3, e d s r i o,0,8,5,0
regina, 6, 6, 6, 1, e r a n i t,0,5,2,0
regulates, 9, 8, 6, 1, e d s t a l,0,8,3,0
reimplemented, 13, 9, 3, 0, i n e,0,2,0,0
reinventing, 11, 7, 4, 0, e i t n,0,5,2,0
relapse, 7, 6, 4, 0, e r s l,0,8,4,0
relegates, 9, 7, 4, 1, e r d s,0,8,3,0
relish, 6, 6, 5, 1, e r a i s,0,8,4,0
remarriage, 10, 6, 4, 0, e a i r,0,3,1,0
remnants, 8, 7, 6, 1, e i a t s n,0,6,2,0
rendezvoused, 12, 9, 3, 1, i e d,0,4,2,0
reoccupy, 8, 7, 4, 2, e i a o,0,4,2,0
repatriation, 12, 8, 4, 0, i n o t,0,4,0,0
repine, 6, 5, 7, 2, e r i v s n p,0,15,11,2
reportedly, 10, 8, 3, 0, e r l,0,5,2,0
reprints, 8, 7, 6, 1, e i s n g t,0,6,2,0
republished, 11, 10, 4, 0, e i r s,0,8,4,0
reread, 6, 4, 2, 0, e r,0,8,5,0
reselling, 9, 7, 9, 2, e n i g r l v t s,0,8,3,0
residence, 9, 7, 4, 0, e i n c,0,3,2,0
resolutions, 11, 9, 3, 0, e i s,0,7,1,0
respirators, 11, 8, 4, 0, e i o s,0,7,1,0
restlessness, 12, 6, 4, 1, i e n s,0,2,0,0
resupply, 8, 7, 5, 3, e i a o u,0,7,5,0
retentive, 9, 6, 5, 0, e t v i n,0,6,2,0
retracted, 9, 6, 4, 0, e d r t,0,8,4,0
retroviruses, 12, 8, 5, 1, i a e u o,0,4,1,0
revelation, 10, 9, 8, 0, e i n t o r a l,0,10,2,0
reverting, 9, 7, 7, 0, e n i g r v t,0,8,3,0
revoker, 7, 5, 5, 2, e d s r v,0,14,11,2
rewrap, 6, 5, 4, 0, e r a w,0,11,8,0
rhymes, 6, 6, 7, 3, e r d s i u m,0,8,5,0
riddles, 7, 6, 8, 3, e r l s u a i p,0,11,5,0
righthandedness, 15, 10, 2, 0, i e,0,2,0,0
ringless, 8, 7, 7, 1, e s n l i w g,0,8,3,0
risers, 6, 4, 3, 0, e s r,0,8,4,0
roadhouse, 9, 8, 8, 1, e a i s u h o d,0,4,1,0
roc, 3, 3, 9, 7, a o t d b w p n c,0,12,9,4
rollicking, 10, 8, 8, 3, e i n g f u o c,0,8,4,0
roommate, 8, 6, 5, 1, e a t i o,0,4,0,0
rotational, 10, 7, 7, 1, e i l n o a t,0,6,1,0
roundish, 8, 8, 8, 2, e i n s h u o g,0,8,3,0
royalty, 7, 6, 6, 2, e i a y o l,0,8,4,0
rues, 4, 4, 7, 3, e s o i u t r,0,8,5,0
ruminations, 11, 9, 7, 1, e i n s t a r,0,5,1,0
ruse, 4, 4, 7, 3, e a o i u r s,0,8,5,0
sabotage, 8, 7, 6, 2, e a i r b t,0,3,0,0
saddle, 6, 5, 7, 2, e l a b d w s,0,11,6,0
saigon, 6, 6, 6, 2, e a i s o r,0,6,2,0
salinity, 8, 7, 4, 1, e i n s,0,6,2,0
salvers, 7, 6, 8, 4, e s r i a y c p,0,10,5,0
sanded, 6, 5, 6, 1, e r d a n s,0,8,4,0
sarcastically, 13, 8, 2, 0, i a,0,3,1,0
satisfiable, 11, 8, 4, 0, e a b i,0,3,0,0
savanna, 7, 4, 4, 3, e i a t,0,5,4,0
scaffolds, 9, 7, 5, 2, e i a o s,0,7,4,0
scanty, 6, 6, 6, 2, e a s y h t,0,9,5,0
scatters, 8, 6, 7, 2, e s r t a p h,0,12,6,0
schists, 7, 5, 6, 1, e i s h c t,0,7,4,0
scintillated, 12, 9, 8, 1, i n t a l c s r,0,3,0,0
scorn, 5, 5, 7, 3, e s a o t c r,0,12,7,0
scrapbooks, 10, 8, 4, 2, e i o s,0,4,2,0
screen, 6, 5, 5, 0, e s r c n,0,8,4,0
scrubbers, 9, 6, 4, 1, e s r t,0,8,5,0
sculptors, 9, 8, 6, 3, e i a o u s,0,7,4,0
seals, 5, 4, 6, 3, e s a t r m,0,10,6,0
seasoning, 9, 7, 6, 0, e i n g o s,0,7,1,0
secretaries, 11, 7, 2, 0, e r,0,2,0,0
sedating, 8, 8, 8, 2, e i n g r d s c,0,7,1,0
seemingly, 9, 8, 5, 0, e i y l s,0,7,3,0
seldom, 6, 6, 6, 3, e r a i o l,0,7,4,0
selfrespect, 11, 8, 2, 0, e s,0,6,4,0
semitics, 8, 6, 4, 1, e i n t,0,6,3,0
sensitivity, 11, 7, 3, 0, e i t,0,5,2,0
septet, 6, 4, 6, 3, e d r s t x,0,16,12,2
sergeants, 9, 7, 3, 0, e r t,0,2,0,0
servings, 8, 7, 6, 1, e i s n g t,0,7,3,0
severity, 8, 7, 4, 0, e r i t,0,7,3,0
shade, 5, 5, 11, 7, e a s t h v r p m l k,0,11,6,0
shallowness, 11, 8, 3, 0, e s l,0,4,1,0
shareable, 9, 7, 5, 0, e a l b r,0,8,4,0
shearwaters, 11, 7, 3, 0, e t s,0,7,3,0
shepherded, 10, 6, 2, 0, e d,0,2,1,0
shinning, 8, 5, 7, 3, e i n g s p k,0,9,5,0
shocking, 8, 8, 9, 3, e i n g a o s t c,0,12,6,0
shops, 5, 4, 10, 8, e s a i o t l w b g,0,16,12,2
shotgun, 7, 7, 6, 3, e i a o g h,0,6,3,0
showroom, 8, 6, 4, 3, e i a o,0,4,3,0
shrub, 5, 5, 10, 6, e s a o i u r t h g,0,17,13,2
shyest, 6, 5, 5, 2, e s t a r,0,8,5,0
sides, 5, 4, 8, 5, e s i z x t r n,0,11,7,0
sightsee, 8, 6, 2, 1, e r,0,5,2,0
silencers, 9, 7, 3, 0, e s r,0,6,3,0
similes, 7, 5, 6, 2, e r d s l i,0,7,4,0
sincerity, 9, 8, 3, 0, e i n,0,4,2,0
sinner, 6, 5, 8, 3, e r a i n w t s,0,8,3,0
sites, 5, 4, 6, 2, e s i z x t,0,7,3,0
skerries, 8, 5, 5, 0, e r s i k,0,9,5,0
skinhead, 8, 8, 4, 1, e s r n,0,6,2,0
skydive, 7, 7, 9, 4, e a i o u y k s n,0,11,7,0
slanders, 8, 7, 7, 2, e s r t i a n,0,7,3,0
slavish, 7, 6, 8, 4, e i n s t h l w,0,7,4,0
sleight, 7, 7, 4, 1, e r i s,0,7,3,0
slimmer, 7, 6, 9, 3, e r i s t n l p m,0,14,8,0
slop, 4, 4, 6, 2, e a o l p s,0,16,12,4
sluggards, 9, 7, 6, 3, e i a o s r,0,7,5,0
small, 5, 4, 6, 2, e s a t l m,0,10,7,0
smelter, 7, 6, 7, 1, e r l i t s m,0,9,5,0
smooths, 7, 5, 4, 3, e i a o,0,4,2,0
snappily, 8, 7, 4, 1, e i n s,0,6,3,0
snifter, 7, 7, 8, 1, e r i s t f w n,0,6,2,0
snorts, 6, 5, 10, 5, e a i o s t u r p n,0,8,3,0
snuggle, 7, 6, 10, 4, e a i u l s t f g n,0,15,10,2
socialising, 11, 8, 3, 1, e i l,0,5,2,0
softboiled, 10, 9, 4, 0, e s d t,0,5,1,0
soldiery, 8, 8, 5, 0, e s r y l,0,7,3,0
solutes, 7, 6, 8, 3, e r d s l i o t,0,7,3,0
songbook, 8, 6, 5, 3, e i a o k,0,6,4,0
sorbets, 7, 6, 5, 1, e s r y t,0,8,3,0
souls, 5, 4, 9, 5, e s a i o u r p l,0,10,7,0
sow, 3, 3, 8, 5, a o t d b w v s,0,18,15,4
spanked, 7, 7, 9, 4, e r d l s t p n g,0,8,4,0
spastic, 7, 6, 6, 1, e i a c t s,0,7,3,0
specialness, 11, 8, 3, 1, e t s,0,3,1,0
spectroscope, 12, 7, 3, 1, i e o,0,3,1,0
spells, 6, 4, 6, 2, e s a l w p,0,16,12,3
spillage, 8, 7, 7, 2, e a t c g p l,0,10,5,0
spiritualised, 13, 10, 5, 0, i l a u t,0,5,1,0
splinters, 9, 8, 5, 0, e s r l t,0,8,2,0
sponsors, 8, 5, 5, 3, e i a o s,0,6,4,0
spots, 5, 4, 8, 4, e s a i o t w p,0,16,12,2
springboks, 10, 9, 4, 1, e i o s,0,5,3,0
spurs, 5, 4, 10, 7, e s a i o u t l n r,0,10,8,0
squats, 6, 5, 5, 2, e a s r t,0,8,5,0
squirm, 6, 6, 9, 4, e a i n s r u q t,0,8,5,0
stagecoaches, 12, 8, 3, 1, i e o,0,2,0,0
stalemate, 9, 6, 4, 0, e a s m,0,2,0,0
standby, 7, 7, 8, 4, e i a s o y r b,0,6,3,0
starlit, 7, 6, 5, 2, e i a c s,0,3,1,0
statesmen, 9, 6, 3, 0, e s t,0,2,0,0
stays, 5, 4, 8, 4, e s a p w l t y,0,19,15,3
steelworks, 10, 8, 3, 0, e s t,0,2,0,0
stepdaughter, 12, 10, 3, 1, i e r,0,2,0,0
steward, 7, 7, 4, 0, e r a d,0,3,0,0
stilling, 8, 6, 8, 2, e i n g s l w t,0,10,5,0
stirfry, 7, 6, 3, 1, e i r,0,8,4,0
stoicism, 8, 6, 4, 2, e i n t,0,5,2,0
stopover, 8, 7, 6, 2, e s r i u t,0,4,1,0
stoutness, 9, 6, 6, 2, e s n i a t,0,2,0,0
strands, 7, 6, 7, 3, e i a y s r t,0,5,3,0
strayer, 7, 6, 7, 1, e r i a s y t,0,8,3,0
stretches, 9, 6, 3, 0, e s c,0,7,4,0
stripiest, 9, 6, 4, 0, e s t i,0,5,2,0
structure, 9, 6, 5, 3, e a i o r,0,5,3,0
studious, 8, 6, 7, 2, e i s n u o d,0,5,2,0
stupidities, 11, 7, 3, 0, e i s,0,2,0,0
subcommittees, 13, 9, 3, 1, i a e,0,1,0,0
sublayer, 8, 8, 6, 2, e s r i u n,0,8,4,0
subs, 4, 3, 10, 8, e a o i u s p n m d,0,16,14,4
substantiates, 13, 8, 8, 0, i t e n a b u s,0,7,1,0
subtraction, 11, 10, 8, 1, e i n o t c r s,0,5,1,0
succumb, 7, 5, 7, 4, e i a o u s b,0,8,7,0
suffocate, 9, 8, 8, 2, e a t i o u s g,0,8,3,0
suited, 6, 6, 10, 5, e r d a o i s p l t,0,7,3,0
summed, 6, 5, 12, 7, e r d a o i u s n k p m,0,14,9,3
sunflower, 9, 9, 5, 1, e s r a n,0,7,3,0
superconductivity, 17, 13, 4, 0, i e y t,0,2,0,0
superposed, 10, 7, 6, 1, e r n s d p,0,7,4,0
supplementary, 13, 11, 9, 1, i e y n r a t l p,0,4,1,0
supremacy, 9, 9, 4, 1, e i r a,0,7,4,0
surmises, 8, 6, 5, 0, e s u i r,0,7,4,0
surveys, 7, 6, 4, 0, e s r y,0,8,5,0
swaddling, 9, 8, 7, 3, e i n g r a h,0,9,5,0
swats, 5, 4, 7, 3, e s a p w y t,0,16,13,2
sweetening, 10, 7, 5, 0, e g i n t,0,2,0,0
swindles, 8, 7, 8, 1, e s l u i n d w,0,16,10,2
sword, 5, 5, 9, 5, e s a o t c w r n,0,8,5,0
symbols, 7, 6, 8, 5, e i a o u s y n,0,7,5,0
syndicalist, 11, 9, 10, 1, e i n l a c d y s t,0,4,2,0
syrups, 6, 5, 10, 6, e a i o u r s h c p,0,12,10,3
tachographs, 11, 9, 5, 2, e i o a h,0,3,1,0
tailoring, 9, 8, 5, 1, e i n g l,0,4,1,0
taller, 6, 5, 6, 1, e r a t n l,0,10,5,0
tankage, 7, 6, 6, 2, e a g s r t,0,3,0,0
tapped, 6, 5, 8, 3, e r d a l t k p,0,16,11,4
tarty, 5, 4, 6, 2, e s a y r t,0,7,5,0
tautologically, 14, 9, 8, 0, i a y c g l o t,0,2,1,0
teacups, 7, 7, 7, 3, e i r s a o t,0,7,3,0
technically, 11, 9, 6, 1, e i o l y t,0,3,0,0
teepees, 7, 4, 1, 0, e,0,1,0,0
telescoped, 10, 8, 3, 0, e s d,0,7,3,0
temporality, 11, 10, 5, 1, e i n y r,0,3,0,0
tenet, 5, 3, 5, 2, e r d n t,0,2,0,0
terminals, 9, 9, 5, 1, e i s r v,0,4,1,0
territories, 11, 6, 3, 0, e i s,0,3,1,0
testings, 8, 6, 4, 0, e i s n,0,4,2,0
thanking, 8, 7, 10, 4, e i n g u a k l r h,0,9,4,0
theologians, 11, 10, 6, 0, e i o g l s,0,3,0,0
thermodynamics, 14, 13, 3, 0, i r o,0,2,0,0
things, 6, 6, 9, 4, e a i s l n g r h,0,17,11,2
thoroughbred, 12, 9, 3, 1, i e r,0,4,1,0
thresh, 6, 5, 3, 0, e s t,0,7,4,0
throttling, 10, 8, 6, 2, e i n g a o,0,2,1,0
thunderously, 12, 11, 3, 1, i e o,0,4,1,0
tideway, 7, 7, 5, 2, e a r m t,0,3,0,0
tillers, 7, 6, 8, 2, e s r a i n t l,0,10,4,0
tinges, 6, 6, 11, 5, e r d s l i n c x g t,0,7,2,0
tiptoed, 7, 6, 7, 3, e r d l s t o,0,7,3,0
toad, 4, 4, 8, 5, e a r l s h o t,0,4,1,0
toggling, 8, 6, 8, 2, e i n g l a o t,0,16,11,2
tombstones, 10, 7, 4, 0, e s n o,0,4,1,0
tooled, 6, 5, 7, 2, e r d a o l t,0,4,1,0
topping, 7, 6, 10, 5, e i n g a o r l t s,0,10,6,0
torture, 7, 5, 6, 2, e a i u o t,0,3,1,0
touchy, 6, 6, 9, 5, e a i o u s y l t,0,7,5,0
townscapes, 10, 9, 5, 0, e s n t p,0,3,0,0
tract, 5, 4, 7, 4, e s a r n t i,0,5,3,0
trails, 6, 6, 8, 3, e a s r n t l w,0,6,3,0
tranquilly, 10, 9, 4, 2, e i s l,0,5,2,0
transfinite, 11, 8, 3, 0, e a t,0,3,0,0
translational, 13, 8, 3, 0, i t l,0,6,1,0
transponders, 12, 9, 5, 1, i e s o n,0,6,1,0
travels, 7, 7, 7, 0, e s r l v a t,0,8,3,0
treatments, 10, 7, 5, 1, e r d s a,0,2,0,0
trendy, 6, 6, 8, 3, e s r a n h y d,0,9,5,0
trick, 5, 5, 11, 6, e s a o i l r n c k t,0,10,7,0
trilling, 8, 6, 8, 2, e i n g s r t l,0,10,5,0
tristan, 7, 6, 5, 2, e i r y s,0,3,1,0
trophies, 8, 8, 5, 0, e s i o p,0,6,2,0
truce, 5, 5, 8, 4, e a o i u r p c,0,8,5,0
trussing, 8, 7, 8, 3, e i n g a o u s,0,7,3,0
tuckers, 7, 7, 9, 4, e s r a i o u b t,0,8,4,0
tunes, 5, 5, 9, 4, e s a i o u d t n,0,7,3,0
turnaround, 10, 7, 6, 2, e i o a d n,0,3,1,0
tutu, 4, 2, 7, 5, e a o i u l t,0,5,4,0
twinkled, 8, 8, 9, 4, e s d a o i l r w,0,7,3,0
typesetting, 11, 8, 5, 0, e n g i t,0,2,0,0
ugliest, 7, 7, 7, 2, e s t i a o u,0,7,3,0
unabashedly, 11, 10, 3, 0, e s n,0,3,1,0
unanimous, 9, 7, 4, 1, e i a n,0,5,2,0
unavailable, 11, 8, 2, 0, e a,0,3,1,0
unblocking, 10, 9, 8, 3, e i n g u a o t,0,6,3,0
unceremoniously, 15, 11, 3, 0, i l s,0,2,1,0
unclosed, 8, 8, 6, 1, e s d i o u,0,7,3,0
unconsciously, 13, 8, 3, 2, i a e,0,5,3,0
uncritically, 12, 9, 2, 0, i c,0,5,2,0
undercooked, 11, 8, 6, 1, e r d n u a,0,6,3,0
underling, 9, 8, 7, 1, e i n u g l a,0,7,4,0
understander, 12, 8, 3, 1, i e r,0,6,2,0
undetectable, 12, 9, 5, 1, i e l b a,0,2,0,0
undulated, 9, 7, 7, 1, e s d a t l u,0,7,3,0
unequivocally, 13, 11, 2, 0, i e,0,4,1,0
unfatigued, 10, 9, 8, 1, e s d t n a f u,0,5,1,0
unfortunately, 13, 10, 3, 2, i e s,0,5,1,0
unhappy, 7, 6, 6, 3, e i a y l n,0,7,5,0
uniformity, 10, 9, 4, 1, e i n t,0,5,2,0
uninterestedly, 14, 10, 3, 0, i n e,0,1,0,0
unjustifiable, 13, 11, 11, 1, i n b s l a f t j u y,0,3,0,0
unload, 6, 6, 7, 2, e a l u d o p,0,6,3,0
unmistakeable, 13, 11, 2, 0, i e,0,2,0,0
unoriginality, 13, 10, 2, 0, i n,0,4,1,0
unpractised, 11, 11, 6, 0, e i s d r a,0,3,0,0
unquote, 7, 6, 5, 3, e a i u g,0,4,1,0
unreleasable, 12, 8, 3, 1, i e l,0,3,1,0
unruffled, 9, 7, 6, 1, e s d n u r,0,8,5,0
unseen, 6, 4, 2, 0, e s,0,6,4,0
unsolicited, 11, 10, 5, 0, e i t d s,0,5,1,0
unsubtle, 8, 7, 7, 3, e a i o u l b,0,3,1,0
untenable, 9, 7, 4, 2, e i r a,0,3,0,0
untruthfully, 12, 8, 4, 3, i e o r,0,3,2,0
unwed, 5, 5, 9, 4, e s d a o i u n w,0,15,11,2
upbringings, 11, 8, 4, 1, e i s n,0,6,4,0
uppercase, 9, 7, 6, 1, e i r a u s,0,5,3,0
upturn, 6, 5, 6, 4, e a i o u n,0,6,4,0
use, 3, 3, 6, 3, a o e i u s,0,7,5,0
utopians, 8, 8, 6, 1, e i s n a u,0,3,1,0
vaguely, 7, 7, 7, 4, e s r n l y t,0,8,6,0
valve, 5, 4, 5, 1, e a s l v,0,13,10,2
variants, 8, 7, 6, 1, e i a r v s,0,5,2,0
vectors, 7, 7, 8, 1, e i r o s t c v,0,11,6,0
venality, 8, 8, 4, 0, e i n t,0,6,1,0
ventriloquy, 11, 11, 3, 0, e i o,0,4,1,0
veritable, 9, 8, 8, 0, e r i l b a t v,0,9,4,0
vestiges, 8, 6, 5, 2, e r d s i,0,7,3,0
vicarage, 8, 7, 2, 0, e a,0,3,1,0
vie, 3, 3, 5, 2, a o e i v,0,16,14,2
vim, 3, 3, 12, 9, a o e i p t d n g s m v,11,14,12,22
virginia, 8, 6, 2, 1, e i,0,5,3,0
vista, 5, 5, 5, 3, e s y o a,0,5,2,0
vocalist, 8, 8, 9, 3, e i n s t o l a r,0,10,4,0
volumes, 7, 7, 8, 4, e r d s i l a u,0,10,6,0
voyagers, 8, 8, 8, 5, e s r l n h d i,0,11,6,0
wafting, 7, 7, 14, 8, e i n g a r l s p b k m w t,0,10,6,0
waitresses, 10, 7, 4, 0, e r s t,0,5,1,0
wallpapering, 12, 9, 4, 0, i n g r,0,6,2,0
warding, 7, 7, 10, 3, e i n g a r p m d w,0,12,7,0
warp, 4, 4, 10, 6, e a s l r t d m p w,0,16,13,13
waspish, 7, 6, 6, 2, e i n s a h,0,9,5,0
watercress, 10, 7, 4, 1, e s n t,0,7,3,0
waveform, 8, 8, 4, 0, e r o w,0,10,6,0
weakly, 6, 6, 9, 4, e r a t o y l m k,0,11,8,0
weave, 5, 4, 6, 2, e s n v a w,0,12,10,2
weepy, 5, 4, 5, 1, e s y w p,0,15,14,3
wellbred, 8, 6, 6, 2, e r d u o b,0,8,6,0
welltaken, 9, 7, 4, 3, e d s r,0,3,0,0
wettable, 8, 6, 6, 0, e a l b t w,0,17,13,2
wheeze, 6, 4, 4, 1, e z r h,0,9,7,0
whimsical, 9, 8, 7, 2, e i n l a c s,0,7,4,0
whist, 5, 5, 8, 3, e s t o i w r h,0,8,5,0
wholesome, 9, 7, 4, 1, e a s o,0,4,2,0
widespread, 10, 8, 4, 0, e s i r,0,3,1,0
wiles, 5, 5, 6, 1, e s a i l w,0,18,13,5
windings, 8, 6, 7, 1, e i n s g d w,0,18,12,3
winks, 5, 5, 9, 4, e s a o i l n k w,0,18,14,9
wishing, 7, 6, 9, 3, e i n g t l s h w,0,15,11,2
witticisms, 10, 6, 4, 1, e i s t,0,3,2,0
womankind, 9, 8, 9, 2, e i n g d k a m o,0,8,4,0
woodwind, 8, 5, 7, 4, e i n g s r w,0,10,7,0
worked, 6, 6, 11, 5, e r d a u o f n t k w,0,17,13,5
worm, 4, 4, 12, 8, e a o s l r n t k d m w,0,15,12,8
wowed, 5, 4, 7, 3, e s d a o p w,0,18,14,12
wrestle, 7, 6, 5, 0, e r t w l,0,7,4,0
wronged, 7, 7, 7, 2, e r d i a o w,0,17,11,2
yardage, 7, 6, 6, 1, e a g s r d,0,11,7,0
yelp, 4, 4, 9, 5, e s a t r l d p y,0,19,15,2
younger, 7, 7, 11, 6, e r i l s c n u t o d,0,12,8,0
zees, 4, 3, 3, 0, e s z,0,20,18,3
zoologist, 9, 7, 5, 3, e i n a o,0,4,2,0
